Dominique Canlas		Frontend Engineering Interview Prep Program	Frontend Domain Technical Coaching Session	September 18	07:00 PM	08:00 PM
Ashish Kaila	MixModes Inc.	Backend Engineering Program	Backend Domain Technical Coaching Session	September 18	07:00 PM	08:00 PM
Nikhil Raverkar	Software Development Engineer II Amazon Web Services (AWS)	Machine Learning SwitchUp Program	Python Technical Coaching Session with Nikhil	September 20	06:00 PM	08:00 PM
Harry Zhang		Machine Learning SwitchUp Program	Reinforcement Learning Technical Coaching Session	September 20	06:00 PM	07:00 PM
Idris M		Machine Learning SwitchUp Program	MLOPs, NLP and Gen Ai Technical Coaching Session	September 20	06:00 PM	07:00 PM
Ling Huang		Machine Learning SwitchUp Program	Deep Learning & NLP Coaching Sessions	September 20	06:00 PM	07:00 PM
Jinal Shah		Machine Learning SwitchUp Program	Math & SQL Technical Coaching Session	September 21	11:00 AM	12:00 PM
Yashwant Jankay		Machine Learning SwitchUp Program	Deep Learning and GenAI-1: Technical Coaching Sessions	September 23	05:00 PM	06:00 PM
Fatemeh Taheri Dezaki		Machine Learning SwitchUp Program	Computer Vision & Deep Learning Technical Coaching Session	September 23	05:00 PM	06:00 PM
Shih-Kang Chao		Machine Learning SwitchUp Program	Maths and Classical ML Technical Coaching Session	September 23	06:00 PM	07:00 PM
Andrea Massari		Machine Learning SwitchUp Program	SQL, ML Math & Classical ML Technical Coaching Sessions	September 23	07:00 PM	08:00 PM
Ningquan Wang		Machine Learning SwitchUp Program	Linear Algebra and Regression Technical Coaching Sessions	September 24	09:00 AM	10:00 AM
Emmanuel Awa		Machine Learning SwitchUp Program	Applied Gen AI Domain (Python for Gen AI Part 2) Technical Coaching	September 24	06:00 PM	07:00 PM
Mahdi Kamani		Machine Learning SwitchUp Program	Computer Vision & Deep Learning Technical Coaching Session	September 24	06:00 PM	07:00 PM
Philip Behrend		Machine Learning SwitchUp Program	ML Mini Project Technical Coaching	September 24	06:00 PM	07:00 PM
Yijun Wang	Amazon	Technical Program Manager Interview Prep Program	TPM Domain Technical Coaching	September 24	07:00 PM	08:00 PM
Philip Behrend		Machine Learning SwitchUp Program	Classical ML Technical Coaching Sessions	September 24	07:30 PM	08:30 PM
